"","site","date_time","p_h","temp_c","tide_height"
"1","Alegria","6/18/2021 1:15",7.842363333,16.79444444,2.931996
"2","Alegria","6/18/2021 1:30",7.841745701,16.76111111,3.030151
"3","Alegria","6/18/2021 1:45",7.843553083,16.76111111,3.129757
"4","Alegria","6/18/2021 2:00",7.848255551,16.73888889,3.228431
"5","Alegria","6/18/2021 2:15",7.84908023,16.75,3.324108
"6","Alegria","6/18/2021 2:30",7.849622608,16.72777778,3.414633
"7","Alegria","6/18/2021 2:45",7.849338843,16.72777778,3.497909
"8","Alegria","6/18/2021 3:00",7.856368955,16.64444444,3.572013
"9","Alegria","6/18/2021 3:15",7.862788117,16.58888889,3.634906
"10","Alegria","6/18/2021 3:30",7.863825996,16.54444444,3.68497
"11","Alegria","6/18/2021 3:45",7.867599212,16.53333333,3.720693
"12","Alegria","6/18/2021 4:00",7.867573169,16.51111111,3.740801
"13","Alegria","6/18/2021 4:15",7.870135372,16.47222222,3.744185
"14","Alegria","6/18/2021 4:30",7.872327861,16.41666667,3.72982
"15","Alegria","6/18/2021 4:45",7.882044699,16.36111111,3.697058
"16","Alegria","6/18/2021 5:00",7.901637534,16.32222222,3.64577
"17","Alegria","6/18/2021 5:15",7.910241275,16.3,3.575959
"18","Alegria","6/18/2021 5:30",7.912582699,16.28888889,3.488208
"19","Alegria","6/18/2021 5:45",7.914127279,16.27777778,3.383067
"20","Alegria","6/18/2021 6:00",7.919979955,16.24444444,3.261812
"21","Alegria","6/18/2021 6:15",7.923252098,16.21111111,3.12551
"22","Alegria","6/18/2021 6:30",7.930949431,16.18333333,2.976067
"23","Alegria","6/18/2021 6:45",7.937731668,16.16111111,2.815003
"24","Alegria","6/18/2021 7:00",7.93886419,16.13888889,2.644744
"25","Alegria","6/18/2021 7:15",7.945280053,16.09444444,2.467371
"26","Alegria","6/18/2021 7:30",7.94979442,16.02222222,2.285089
"27","Alegria","6/18/2021 7:45",7.951481751,15.98888889,2.100824
"28","Alegria","6/18/2021 8:00",7.952424516,15.94444444,1.916778
"29","Alegria","6/18/2021 8:15",7.957828879,15.82777778,1.735995
"30","Alegria","6/18/2021 8:30",7.961413418,15.85,1.560717
"31","Alegria","6/18/2021 8:45",7.966185029,15.80555556,1.393922
"32","Alegria","6/18/2021 9:00",7.972259925,15.81666667,1.237752
"33","Alegria","6/18/2021 9:15",7.980377986,15.83888889,1.094935
"34","Alegria","6/18/2021 9:30",7.9945594,15.89444444,0.967379
"35","Alegria","6/18/2021 9:45",8.011661134,15.97777778,0.857393
"36","Alegria","6/18/2021 10:00",8.025715897,16.03333333,0.766532
"37","Alegria","6/18/2021 10:15",8.037661596,16.05,0.696539
"38","Alegria","6/18/2021 10:30",8.052341417,16,0.648522
"39","Alegria","6/18/2021 10:45",8.06574722,16.03333333,0.623546
"40","Alegria","6/18/2021 11:00",8.080763856,16.04444444,0.622152
"41","Alegria","6/18/2021 11:15",8.099689884,16.11666667,0.644303
"42","Alegria","6/18/2021 11:30",8.117562844,16.21111111,0.68996
"43","Alegria","6/18/2021 11:45",8.131329612,16.28888889,0.758771
"44","Alegria","6/18/2021 12:00",8.145191811,16.47222222,0.850077
"45","Alegria","6/18/2021 12:15",8.154426681,16.63333333,0.962769
"46","Alegria","6/18/2021 12:30",8.159113693,16.69444444,1.09583
"47","Alegria","6/18/2021 12:45",8.152755916,16.86666667,1.247594
"48","Alegria","6/18/2021 13:00",8.144306714,17.06111111,1.416245
"49","Alegria","6/18/2021 13:15",8.140029617,17.08333333,1.599734
"50","Alegria","6/18/2021 13:30",8.133788182,16.98333333,1.795575
"51","Alegria","6/18/2021 13:45",8.124923046,16.86666667,2.001772
"52","Alegria","6/18/2021 14:00",8.117056514,16.94444444,2.215533
"53","Alegria","6/18/2021 14:15",8.114475072,16.92222222,2.43417
"54","Alegria","6/18/2021 14:30",8.11116944,17.02777778,2.654676
"55","Alegria","6/18/2021 14:45",8.109267658,17.02777778,2.874758
"56","Alegria","6/18/2021 15:00",8.107225388,17.07222222,3.091386
"57","Alegria","6/18/2021 15:15",8.100164308,17.09444444,3.301824
"58","Alegria","6/18/2021 15:30",8.097939357,17.11666667,3.50342
"59","Alegria","6/18/2021 15:45",8.106869682,17.21111111,3.693439
"60","Alegria","6/18/2021 16:00",8.117811215,17.22222222,3.869937
"61","Alegria","6/18/2021 16:15",8.119947508,17.29444444,4.030516
"62","Alegria","6/18/2021 16:30",8.132191358,17.23333333,4.173218
"63","Alegria","6/18/2021 16:45",8.134308192,17.31666667,4.296212
"64","Alegria","6/18/2021 17:00",8.13444774,17.33888889,4.398345
"65","Alegria","6/18/2021 17:15",8.12996984,17.38333333,4.478334
"66","Alegria","6/18/2021 17:30",8.128708015,17.40555556,4.535357
"67","Alegria","6/18/2021 17:45",8.117599412,17.45555556,4.568892
"68","Alegria","6/18/2021 18:00",8.103962868,17.42777778,4.578848
